multi-notes,multi-sylphones,rhyme density,rhyme distance,rhyme strength,longnote-stress,longnote-nonstop,longnote-longvowel
1,1,0.6249999218750099,0.3749999701976776,0.30000003999999203,0.8399999141693115,0.5199999809265137,0.47999995946884155
1,1,0.6249999218750099,0.3749999701976776,0.30000003999999203,0.7599999308586121,0.5999999642372131,0.559999942779541
1,1,0.4999999375000079,0.4999999403953552,0.2500000624999844,0.7599999308586121,0.559999942779541,0.47999995946884155
1,1,0.6249999218750099,0.3749999701976776,0.5083333534651104,0.9599999189376831,0.559999942779541,0.8399999141693115
1,1,0.24999996875000394,0.7499999403953552,0.2500001249999375,0.7199999690055847,0.5999999642372131,0.5999999642372131
1,1,0.3749999531250059,0.7142856121063232,0.6666667172551499,0.8461537957191467,0.6923076510429382,0.615384578704834
1,1,0.4999999375000079,0.333333283662796,0.2500000624999844,0.615384578704834,0.8461537957191467,0.615384578704834
1,1,0.24999996875000394,0.9999998807907104,0.2500001249999375,0.8461537957191467,0.615384578704834,0.6923076510429382
1,1,0.6249999218750099,0.4285713732242584,0.400000019999996,0.8461537957191467,0.6923076510429382,0.5384615063667297
1,1,0.24999996875000394,0.8571427464485168,0.5000001249999375,0.5384615063667297,0.6923076510429382,0.4615384340286255
1,1,0.4999999375000079,0.6249999403953552,0.3750000624999844,0.5714285373687744,0.357142835855484,0.4285714030265808
1,1,0.6249999218750099,0.4999999403953552,0.30000003999999203,0.928571343421936,0.5714285373687744,0.6428570747375488
1,1,0.7499999062500118,0.1428571194410324,0.2500000416666597,0.7857142090797424,0.4285714030265808,0.4285714030265808
1,1,0.4999999375000079,0.4285713732242584,0.3750000624999844,0.8571428060531616,0.5714285373687744,0.714285671710968
1,1,0.6249999218750099,0.4999999403953552,0.46666669673255123,0.4999999701976776,0.4285714030265808,0.2142857015132904
1,1,0.4999999375000079,0.4285713732242584,0.2500000624999844,0.8999999165534973,0.6499999165534973,0.4999999403953552
1,1,0.6249999218750099,0.2857142388820648,0.38333335346511044,0.6999999284744263,0.6499999165534973,0.44999995827674866
1,1,0.7499999062500118,0.3749999701976776,0.5208333611111065,0.7499999403953552,0.7999999523162842,0.5999999642372131
1,1,0.24999996875000394,0.7142856121063232,0.2500001249999375,0.7999999523162842,0.6499999165534973,0.6499999165534973
1,1,0.4999999375000079,0.4285713732242584,0.7500000312499921,0.6999999284744263,0.6999999284744263,0.44999995827674866
1,1,0.7499999062500118,0.2857142388820648,0.4166666983992189,0.7857142090797424,0.4999999701976776,0.4285714030265808
1,1,0.4999999375000079,0.5714284777641296,0.3750000624999844,0.714285671710968,0.7857142090797424,0.5714285373687744
1,1,0.4999999375000079,0.5714284777641296,0.2500000624999844,0.7857142090797424,0.4999999701976776,0.4999999701976776
1,1,0.4999999375000079,0.333333283662796,0.5000000624999844,0.7857142090797424,0.714285671710968,0.4285714030265808
1,1,0.6249999218750099,0.6249999403953552,0.30000003999999203,0.7857142090797424,0.5714285373687744,0.5714285373687744
1,1,0.3749999531250059,0.8333331942558289,0.5000000456214295,0.6923076510429382,0.38461536169052124,0.4615384340286255
1,1,0.24999996875000394,0.9999998211860657,0.2500001249999375,0.8461537957191467,0.615384578704834,0.615384578704834
1,1,0.8749998906250137,0.6249999403953552,0.369047659593967,0.8461537957191467,0.7692307233810425,0.7692307233810425
1,1,0.7499999062500118,0.5714284777641296,0.45833336111110645,0.6923076510429382,0.6923076510429382,0.307692289352417
1,1,0.4999999375000079,0.666666567325592,0.2500000624999844,0.7692307233810425,0.7692307233810425,0.4615384340286255
