multi-notes,multi-sylphones,rhyme density,rhyme distance,rhyme strength,longnote-stress,longnote-nonstop,longnote-longvowel
2,1,0.0,0.9999997615814209,1.0,0.9999995231628418,0.4999997615814209,0.9999995231628418
2,1,0.0,0.9999997615814209,1.0,0.9999995231628418,0.4999997615814209,0.4999997615814209
2,1,0.0,0.9999997615814209,1.0,0.9999998807907104,0.555555522441864,0.555555522441864
4,1,0.0,0.9999997615814209,1.0,0.0,0.0,0.0
2,1,0.49999987500003124,0.49999988079071045,0.5000001249999375,0.666666567325592,0.555555522441864,0.666666567325592
2,1,0.49999987500003124,0.49999988079071045,0.2500001249999375,0.9999998807907104,0.555555522441864,0.555555522441864
2,1,0.0,0.9999997615814209,1.0,0.9090908169746399,0.3636363446712494,0.5454545021057129
1,1,0.7499998125000469,0.24999994039535522,0.3333333888888703,0.3999999761581421,0.8666666150093079,0.06666666269302368
3,1,0.9999997500000625,0.0,0.3750000624999844,0.0,0.0,0.0
2,1,0.49999987500003124,0.49999988079071045,0.2500001249999375,0.9999990463256836,0.0,0.0
2,1,0.49999987500003124,0.6666664481163025,0.5000001249999375,0.9999995231628418,0.9999995231628418,0.9999995231628418
2,1,0.49999987500003124,0.6666664481163025,0.2500001249999375,0.666666567325592,0.49999991059303284,0.666666567325592
1,2,0.49999987500003124,0.9999997615814209,0.5000001249999375,0.666666567325592,0.9999998211860657,0.49999991059303284
2,1,0.49999987500003124,0.0,0.5000001249999375,0.666666567325592,0.49999991059303284,0.49999991059303284
2,1,0.0,0.9999995231628418,1.0,0.9999990463256836,0.9999990463256836,0.9999990463256836
2,1,0.9999997500000625,0.9999997615814209,0.3750000624999844,0.7142856121063232,0.5714284777641296,0.7142856121063232
2,1,0.49999987500003124,0.9999995231628418,0.5000001249999375,0.8571427464485168,0.5714284777641296,0.5714284777641296
2,1,0.49999987500003124,0.9999995231628418,0.2500001249999375,0.9999997615814209,0.7499998211860657,0.49999988079071045
1,2,0.9999997500000625,0.9999997615814209,0.5000000624999844,0.8571427464485168,0.7142856121063232,0.4285713732242584
2,1,0.0,0.0,1.0,0.49999988079071045,0.9999997615814209,0.24999994039535522
2,1,0.0,0.9999997019767761,1.0,0.4999997615814209,0.4999997615814209,0.4999997615814209
1,2,0.49999987500003124,0.7499998211860657,0.2500001249999375,0.7999998331069946,0.7999998331069946,0.19999995827674866
1,2,0.0,0.9999997019767761,1.0,0.9999997019767761,0.6666664481163025,0.6666664481163025
2,1,0.49999987500003124,0.7499998211860657,0.5000001249999375,0.9999997615814209,0.24999994039535522,0.24999994039535522
1,2,0.7499998125000469,0.49999988079071045,0.6666667172551499,0.6666664481163025,0.6666664481163025,0.6666664481163025
2,1,0.0,0.9999997615814209,1.0,0.9999995231628418,0.0,0.4999997615814209
3,1,0.0,0.9999997615814209,1.0,0.0,0.0,0.0
1,2,0.0,0.9999997615814209,1.0,0.7777776718139648,0.4444443881511688,0.333333283662796
2,1,0.49999987500003124,0.49999988079071045,0.5000001249999375,0.49999991059303284,0.8333331942558289,0.49999991059303284
2,1,0.49999987500003124,0.49999988079071045,0.5000001249999375,0.0,0.7499998211860657,0.24999994039535522
1,2,0.49999987500003124,0.49999988079071045,0.5000001249999375,0.9999995231628418,0.4999997615814209,0.9999995231628418
1,2,0.9999997500000625,0.0,0.5000000624999844,0.9999997019767761,0.33333322405815125,0.33333322405815125
1,2,0.49999987500003124,0.49999988079071045,0.2500001249999375,0.7499998211860657,0.7499998211860657,0.7499998211860657
2,1,0.49999987500003124,0.49999988079071045,0.5000001249999375,0.9999997615814209,0.7499998211860657,0.49999988079071045
1,3,0.49999987500003124,0.49999988079071045,0.2500001249999375,0.0,0.0,0.0
1,2,0.0,0.9999995231628418,1.0,0.5999999046325684,0.3999999165534973,0.3999999165534973
2,1,0.49999987500003124,0.9999997615814209,0.2500001249999375,0.7999998331069946,0.19999995827674866,0.7999998331069946
1,2,0.7499998125000469,0.33333322405815125,0.6666667172551499,0.9999998211860657,0.333333283662796,0.49999991059303284
2,1,0.0,0.9999995231628418,1.0,0.9999995231628418,0.0,0.9999995231628418
1,2,0.7499998125000469,0.7499998211860657,0.5000000456214295,0.7999998331069946,0.5999999046325684,0.7999998331069946
1,2,0.49999987500003124,0.9999995231628418,0.5000001249999375,0.7857142090797424,0.4285714030265808,0.4999999701976776
