multi-notes,multi-sylphones,rhyme density,rhyme distance,rhyme strength,longnote-stress,longnote-nonstop,longnote-longvowel
2,2,0.9166665902777842,0.0,0.5181818227898134,1.0,0.8235294222831726,0.7058823704719543
3,1,0.9999999166666736,0.0,0.5416666606873395,0.9499999284744264,0.3999999761581421,0.8499999046325684
3,1,0.9166665902777842,0.0,0.4431818347107423,0.8999999165534973,0.6333332657814026,0.7333332896232605
4,2,0.5833332847222263,0.0,0.3412698685707126,0.7777776718139648,0.666666567325592,0.666666567325592
4,1,0.8333332638888947,0.0,0.5166666717325576,0.8181817531585693,0.8181817531585693,0.7272726893424988
4,2,0.6666666111111158,0.0,0.5583333529319743,0.9999999403953552,0.6363635659217834,0.8181817531585693
3,1,0.9999999166666736,0.0,0.4749999979943158,0.9374998807907104,0.8124998807907104,0.7499999403953552
5,1,0.2499999791666684,0.0,0.3333333888888703,0.8055555820465088,0.4444444477558136,0.5833333134651184
4,2,0.9166665902777842,0.0,0.6969697043993364,0.9999998807907104,0.666666567325592,0.9999998807907104
3,1,0.7499999375000053,0.0,0.4166666951192905,0.7999999523162842,0.6333332657814026,0.6333332657814026
4,1,0.7499999375000053,0.0,0.6000000175251057,0.9565216302871704,0.6086956262588501,0.7826086282730103
5,1,0.6666666111111158,0.0,0.437500031249996,0.8275861740112305,0.6896551251411438,0.4137930870056152
4,1,0.7499999375000053,0.0,0.4444444592016923,0.9999999403953552,0.6086956262588501,0.8260868787765503
11,1,0.8333332638888947,0.0,0.3833333334651163,0.9999998807907104,0.684210479259491,0.684210479259491
7,1,0.8333332638888947,0.0,0.5500000199999979,0.9999999403953552,0.7333332896232605,0.9333332777023317
3,2,0.7499999375000053,0.0,0.5333333697332432,0.8999999165534973,0.5999999642372131,0.3999999761581421
6,2,0.6666666111111158,0.0,0.6083333350505808,0.1999999582767486,0.9999998211860656,0.9999998211860656
6,2,0.6666666111111158,0.0,0.5083333410110453,0.9999998807907104,0.9999998807907104,0.8571427464485168
3,1,0.8333332638888947,0.0,0.5611111135279068,0.1999999582767486,0.9999998211860656,0.9999998211860656
5,2,0.7499999375000053,0.0,0.5166666891588261,0.2857142388820648,0.9999998807907104,0.9999998807907104
2,1,0.8333332638888947,0.0,0.5500000199999979,0.8799999356269836,0.7999999523162842,0.7199999690055847
2,1,0.9166665902777842,0.0,0.4560606306954041,0.8749999403953552,0.7499999403953552,0.6666666269302368
2,1,0.9166665902777842,0.0,0.4848484914433015,0.8928570747375488,0.964285671710968,0.6785714030265808
2,1,0.8333332638888947,0.0,0.4888888807093032,0.8181817531585693,0.9545453786849976,0.6363635659217834
2,1,0.6666666111111158,0.0,0.4791666801700562,0.8076922297477722,0.9615383744239808,0.4615384340286255
2,1,0.6666666111111158,0.0,0.4236110981235474,0.863636314868927,0.6818181276321411,0.6363635659217834
5,1,0.9166665902777842,0.0,0.7320075740879304,0.9999999403953552,0.4285714030265808,0.7857142090797424
5,1,0.8333332638888947,0.0,0.5187500199999979,0.923076868057251,0.6923076510429382,0.7692307233810425
5,1,0.8333332638888947,0.0,0.4888888807093032,0.8999999165534973,0.4999999403953552,0.5999999642372131
5,1,0.9166665902777842,0.0,0.6969697043993364,0.9999998807907104,0.4444443881511688,0.9999998807907104
6,1,0.9999999166666736,0.0,0.6458333387829454,0.9999999403953552,0.5454545021057129,0.5454545021057129
5,1,0.9166665902777842,0.0,0.7191919252970109,0.9411763548851012,0.8823528289794922,0.6470587253570557
2,2,0.7499999375000053,0.0,0.6333333488716175,0.9772727489471436,0.6136363744735718,0.6136363744735718
1,1,0.9999999166666736,0.0,0.6250000039547803,0.8999999165534973,0.7999999523162842,0.5999999642372131
